Rank,Team,QS,AP,CP,TP,Record (W-L-T),DQ,Played
1,1114,17,238,140,434,8-0-1,0,9
2,2056,16,326,110,483,8-0-0,0,8
3,1241,15,192,150,250,7-0-1,0,8
4,4343,14,236,120,355,07/01/2000,0,8
5,3541,14,74,60,154,07/01/2000,0,8
6,1547,13,132,120,190,06/01/2001,0,8
7,2809,12,138,150,266,06/02/2000,0,8
8,3387,12,86,130,173,06/03/2000,0,9
9,4001,11,250,110,188,05/02/2001,0,8
10,2013,11,138,150,160,05/02/2001,0,8
11,4727,8,144,70,122,04/05/2000,0,9
12,216,8,122,130,168,04/05/2000,0,9
13,4476,8,118,110,182,04/04/2000,0,8
14,4252,8,114,60,226,04/05/2000,0,9
15,4015,8,98,60,219,04/04/2000,0,8
16,3550,8,86,40,128,04/04/2000,0,8
17,3530,8,72,70,110,04/04/2000,0,8
18,1325,8,58,80,125,04/04/2000,0,8
19,2185,7,84,120,46,03/03/2001,1,8
20,1075,7,42,90,84,03/05/2001,0,9
21,2994,6,180,130,170,03/06/2000,0,9
22,3386,6,130,100,136,03/05/2000,0,8
23,4718,6,112,100,139,03/05/2000,0,8
24,781,6,108,120,118,03/06/2000,0,9
25,865,6,96,90,83,03/05/2000,0,8
26,3543,6,82,80,170,03/06/2000,0,9
27,4808,6,50,30,127,03/05/2000,0,8
28,3985,5,140,130,60,02/05/2001,0,8
29,288,5,126,80,153,02/06/2001,0,9
30,2852,4,138,80,199,02/06/2000,0,8
31,244,4,132,60,72,02/06/2000,0,8
32,4685,4,54,20,110,02/06/2000,0,8
33,4807,3,78,50,54,01/06/2001,0,8
34,3988,2,88,40,60,0-6-2,0,8
